Cliente_Id;Sexo;Estrato;Segmento;Rango de ingresos;Nivel de estudio;Estado civil;Departamento;Edad;Hijos  ;Franquicia;Canal: Presente/No presente;Origen: Nacional /Internacional;Monto transado;Reclamos realizados;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906
42007670;F;6;3; 25,500,000 ;-1;-1;-1; 19 ;?;1;P;Nacional;14,303,415; 2 ;6;8;4;5;6;2;2;3;1;2;4;3;3;1;1;3;2;2;24;5;10;10;4;4;
3777381;M;-1;-1; 7,200,000 ;-1;-1;-1; 79 ;0;1;Ninguno;Ninguno;0; 2 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6903852;M;-1;-1; 5,100,000 ;-1;-1;-1;-1 ;0;1;P;Nacional;1,760,130; 2 ;3;3;2;4;5;14;27;3;5;11;3;8;6;3;7;6;8;15;4;6;7;7;3;9;2
34449583;-1;-1;-1; 12,600,000 ;-1;-1;-1;-1 ;?;1;Ninguno;Ninguno;0; 2 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23765025;-1;-1;-1; 9,900,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;25,439,536; 2 ;4;5;3;2;4;2;19;15;;6;29;29;42;22;11;21;24;20;41;23;17;17;21;49;36
40626198;-1;-1;-1; 12,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;5,878,665; 2 ;2;5;7;2;15;4;1;3;6;2;6;2;3;8;2;;;;;;;;;;
2395909;M;-1;-1; 36,000,000 ;-1;-1;-1; 75 ;0;1;P;Nacional;81,132,973; 2 ;2;2;3;2;8;4;;1;;;;;;6;3;1;1;7;3;2;;3;1;10;
29941640;M;-1;-1; 7,500,000 ;-1;-1;-1; 29 ;?;1;P;Nacional;1,399,828; 2 ;2;4;2;2;1;3;;4;2;6;2;4;3;3;2;2;1;2;2;1;3;4;2;;
19257082;F;-1;-1; 10,500,000 ;-1;-1;-1; 44 ;?;1;P;Nacional;6,918,253; 2 ;1;3;5;6;;1;3;2;;4;3;4;20;2;13;6;8;4;6;1;5;1;;1;1
46802813;F;-1;-1; 9,000,000 ;-1;-1;-1; 67 ;?;1;P;Nacional;31,100,527; 2 ;11;17;16;15;23;41;10;28;13;16;13;12;13;13;14;19;2;;2;2;1;1;2;1;4
