Cliente_Id;Sexo;Estrato;Grupo_valor;Rango_ingresos_acum;Nivel_estudio;Estado_civil;Departamento;Edad;Franquicia;canal;origen;Monto_transado;Reclamos;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906;Total_trx;Recency;Outliers;Mahal Distance
40898125;F;4;Alto;9000000;Maestria;CASADO;VALLE DEL CAUCA;34;AMEX;I;Nacional;5080565;2;1;4;9;5;16;17;5;14;18;35;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;128;1;0;10.283.150.056.725.500
19519669;M;4;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;34;VISA;P;Internacional;5770234;3;8;7;9;6;4;6;3;8;4;4;1;7;5;6;5;4;10;8;5;7;11;8;17;5;10;168;0;0;0.995522995
45197662;F;4;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;34;VISA;P;Internacional;7750855;3;3;2;4;10;19;12;11;27;16;8;8;6;10;17;14;7;20;17;20;22;11;6;0;0;0;270;3;0;1.055.430.442.963.990
16941456;M;4;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;34;VISA;P;Internacional;15029621;3;1;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;19;0;10.958.764.482.086.900
19723650;F;5;Alto;9000000;Pregrado;CASADO;BOGOTA D.C.;34;AMEX;I;Nacional;38127535;2;1;1;1;0;1;0;5;0;1;4;0;0;3;0;0;0;2;2;2;3;3;4;2;3;2;40;0;0;16.703.795.863.955.800
39785255;M;4;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;34;VISA;P;Internacional;1503811;3;1;2;2;0;0;1;2;0;2;3;0;3;0;0;3;1;0;0;2;0;4;0;0;0;0;26;4;0;1.295.609.127.902.560
16641307;F;4;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;34;VISA;P;Internacional;3354729;3;3;7;10;7;10;10;4;10;9;7;8;13;9;10;10;11;23;12;9;4;0;0;0;0;0;186;5;0;10.819.721.650.882.400
25384349;F;5;Alto;9000000;Especializacion;SOLTERO;VALLE DEL CAUCA;34;MASTER;P;Nacional;5250038;3;1;1;3;0;6;2;5;0;6;2;0;7;3;2;2;1;4;0;0;0;0;0;0;0;1;46;0;0;11.377.455.853.673
47195603;F;5;Alto;9000000;Especializacion;SOLTERO;VALLE DEL CAUCA;34;MASTER;P;Nacional;5480687;3;2;8;5;10;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;18;0;1.163.983.027.353.630
34206389;M;6;Alto;9000000;Maestria;SOLTERO;BOGOTA D.C.;34;AMEX;I;Nacional;13364931;2;27;61;36;23;23;15;12;28;13;30;7;29;20;32;17;22;8;10;9;4;5;6;11;12;8;468;0;0;16.036.752.049.998.900
2808132;F;4;Alto;9000000;Pregrado;SOLTERO;BOGOTA D.C.;34;AMEX;I;Nacional;7290371;2;30;22;20;24;16;27;39;21;14;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222;15;0;0.987807913
36454906;F;4;Alto;9000000;Especializacion;SOLTERO;VALLE DEL CAUCA;34;MASTER;P;Nacional;7379324;3;40;22;37;49;8;1;1;0;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;169;13;0;0.948992435
37502949;F;6;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;34;VISA;P;Internacional;7553007;3;8;8;8;8;9;7;16;6;11;14;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;101;11;0;0.983752126
42606704;M;6;Alto;9000000;Maestria;CASADO;BOGOTA D.C.;33;AMEX;I;Nacional;7501607;2;18;4;8;5;7;5;6;1;13;10;5;5;9;12;7;0;0;3;7;2;0;6;12;0;2;147;0;0;1.012.930.252.265.840
42238079;M;6;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;33;MASTER;P;Nacional;7258158;3;5;6;6;2;2;0;1;0;0;1;0;0;0;1;1;2;0;0;12;0;0;1;0;0;0;40;3;0;11.560.649.088.828.200
20009096;M;6;Alto;9000000;Pregrado;SOLTERO;BOGOTA D.C.;33;VISA;I;Nacional;13027790;2;3;3;3;2;4;2;3;2;8;3;6;4;8;5;5;9;15;16;24;15;22;6;21;5;6;200;0;0;0.932332237
39243727;M;6;Alto;9000000;Pregrado;SOLTERO;BOGOTA D.C.;33;VISA;I;Nacional;9162856;2;4;2;5;13;5;0;0;1;3;1;3;4;19;20;4;7;0;0;0;3;1;1;1;2;1;100;0;0;10.134.902.210.230.900
42323725;M;5;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;33;VISA;P;Internacional;9571528;3;3;7;3;3;2;0;7;5;8;3;7;12;6;3;2;16;4;7;14;12;21;22;3;17;15;202;0;0;0.980618677
