Cliente_Id;Sexo;Estrato;Grupo_valor;Rango_ingresos_acum;Nivel_estudio;Estado_civil;Departamento;Edad;Franquicia;canal;origen;Monto_transado;Reclamos;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906;Total_trx
22599993;F;4;Alto;18000000;Especializacion;SOLTERO;BOGOTA D.C.;39;VISA;P;Nacional;3618537;2;2;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;4;1;0;0;0;13
11930811;M;6;Alto;18000000;Especializacion;CASADO;VALLE DEL CAUCA;39;MASTER;I;Nacional;45821689;3;1;1;6;6;0;2;3;0;1;2;6;5;4;0;0;10;1;1;2;1;0;0;0;0;0;52
19342871;F;4;Alto;16500000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Internacional;8346276;3;1;8;1;1;1;0;1;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;18
19910358;F;5;Alto;16500000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Internacional;14746773;3;2;10;5;6;1;7;1;4;4;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50
41266933;F;6;Alto;15000000;Pregrado;CASADO;BOGOTA D.C.;39;VISA;I;Nacional;10143592;2;1;2;5;4;3;4;3;2;2;3;1;6;2;1;4;8;1;0;0;0;0;0;0;0;0;52
20400050;F;6;Alto;15000000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Internacional;12887044;3;2;1;7;3;0;9;10;2;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;39
29657662;F;4;Alto;15000000;Especializacion;VIUDO;ANTIOQUIA;39;VISA;P;Internacional;15094795;3;4;1;2;4;3;3;4;6;5;6;4;3;2;3;4;16;9;12;7;0;0;0;0;0;0;98
48287917;M;5;Alto;15000000;Pregrado;SOLTERO;BOGOTA D.C.;39;VISA;I;Nacional;11105767;2;21;9;6;5;3;2;1;3;5;7;6;12;20;17;10;7;8;7;3;2;3;5;4;4;3;173
20697181;F;6;Alto;15000000;Pregrado;CASADO;BOGOTA D.C.;39;AMEX;I;Nacional;19666291;2;1;3;1;1;0;0;0;0;0;0;12;2;13;8;0;0;0;0;0;0;0;0;0;0;0;41
35608396;F;6;Alto;15000000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Nacional;42329230;3;1;4;1;76;73;30;44;34;9;68;26;26;14;5;26;0;2;0;0;0;1;0;0;0;0;440
